SSN, Salutation, First Name, Middle Name, Last Name, Suffix, Date of Birth, Gender, National Origin, Marital Status, Spouse First Name, Spouse Last Name, Role, Contact Type, Communication Mode, Street 1, Street 2, Street 3, City, State, Country, Zip Code, Phone Number, Fax Number, Email Address, Extension, Cell Phone Number, NPN, Alternate Last Name, Preferred Name, DTCC ID, Renewal Fee Payee, Status Code, Status Reason, Start Date, End Date, Designation, DBA, Initial Contract Date,CRD Number,Contact Name,Sync with PDB,LOP Exempt Until Date,LOP Exempt Reason,LOP Exempt Requester,Do Not Recontract Life,Do Not Recontract Annuity,Party UNID
111222011,,Melvin,,Mooney,,1/1/1980,UNKNOWN,FRANCE,UNKNOWN,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,7/11/1981,,,false,1/1/1900,N/A,Alice,false,false,
111222012,,Jimmy,,Davis,,1/1/1980,UNKNOWN,NETHERLANDS,WIDOWED,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,1/5/1984,,,false,1/1/2013,Disabled,Alice1,false,false,
111222032,,Donna,,Lions,,1/1/1980,UNKNOWN,JAPAN,DIVORCED,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,2/4/1985,,,false,1/1/2013,Retired,Alice2,false,false,
111222033,,Richie,,Bennett,,1/1/1980,UNKNOWN,NETHERLANDS,WIDOWED,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,9/11/1981,,,false,1/1/2013,Sales Request,Alice3,false,false,
111222034,,Bruce,,Henderson,,1/1/1980,UNKNOWN,FRANCE,SINGLE,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,7/11/1987,,,false,1/1/1900,N/A,Alice,false,false,
111222041,,Randy,,Eggert,,1/1/1980,UNKNOWN,ROMANIA,MARRIED,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,9/11/1996,,,false,1/1/2013,Disabled,Alice1,false,false,
111222042,,Jane,,Garner,,1/1/1980,UNKNOWN,NEWZEALAND,DIVORCED,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,1/3/1998,,,false,1/1/2013,Retired,Alice2,false,false,
111222043,,Kitty,,DuBiel,,1/1/1980,UNKNOWN,FINLAND,MARRIED,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,6/8/1985,,,false,1/1/2013,Sales Request,Alice3,false,false,
111222050,,Cindy,,Grant,,1/1/1980,UNKNOWN,ITALY,MARRIED,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,8/10/1996,,,false,1/1/1900,N/A,Alice,false,false,
111222051,,Gary,,Gertrude,,1/1/1980,UNKNOWN,CANADA,SINGLE,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,7/9/1993,,,false,1/1/2013,Disabled,Alice1,false,false,
111222052,,Terry,,Keller,,1/1/1980,UNKNOWN,FRANCE,UNKNOWN,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,7/11/1981,,,false,1/1/2013,Retired,Alice2,false,false,
111222060,,Jim,,Henderson,,1/1/1980,UNKNOWN,NETHERLANDS,WIDOWED,,,EMPLOYEE,HOME,MAILING,street,,,city,AL,US,12345,1234567890,1234567890,email@mail.com,36521,1236547890,987654321,altLN,,1234,Not Specified,Active,Active,1/1/1990,1/1/2300,,,1/5/1984,,,false,1/1/2013,Sales Request,Alice3,false,false,
